timestamp_utc,class,file_path,title,description,prompt,negative_prompt,model_id,seed,width,height
2026-03-15T09:12:12.061470+00:00,electrical,ml/raw_dataset/electrical/sd_electrical_000001_1664728518.png,Electrical complaint sample 00001,Synthetic campus complaint image for class 'electrical'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"damaged ceiling light fixture in university lab, high-detail smartphone camera photo, realistic environment, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1664728518,256,256
2026-03-15T09:15:10.087614+00:00,electrical,ml/raw_dataset/electrical/sd_electrical_000002_1664728518.png,Electrical complaint sample 00002,Synthetic campus complaint image for class 'electrical'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"damaged ceiling light fixture in university lab, high-detail smartphone camera photo, realistic environment, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1664728518,256,256
2026-03-15T09:15:19.985613+00:00,electrical,ml/raw_dataset/electrical/sd_electrical_000003_1363381363.png,Electrical complaint sample 00003,Synthetic campus complaint image for class 'electrical'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"damaged ceiling light fixture in university lab, wide angle institutional facility photograph, highly detailed, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1363381363,256,256
2026-03-15T09:15:32.909905+00:00,plumbing,ml/raw_dataset/plumbing/sd_plumbing_000001_840850103.png,Plumbing complaint sample 00001,Synthetic campus complaint image for class 'plumbing'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"broken tap dripping in university corridor, authentic maintenance inspection photo, photorealistic, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,840850103,256,256
2026-03-15T09:15:47.387448+00:00,plumbing,ml/raw_dataset/plumbing/sd_plumbing_000002_234695047.png,Plumbing complaint sample 00002,Synthetic campus complaint image for class 'plumbing'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"overflowing restroom sink in campus building, authentic maintenance inspection photo, photorealistic, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,234695047,256,256
2026-03-15T09:15:57.894959+00:00,plumbing,ml/raw_dataset/plumbing/sd_plumbing_000003_1933006989.png,Plumbing complaint sample 00003,Synthetic campus complaint image for class 'plumbing'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"water seepage and puddle near hostel bathroom entrance, wide angle institutional facility photograph, highly detailed, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1933006989,256,256
2026-03-15T09:16:08.383526+00:00,furniture,ml/raw_dataset/furniture/sd_furniture_000001_1907676575.png,Furniture complaint sample 00001,Synthetic campus complaint image for class 'furniture'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"broken classroom chair in a college lecture room, authentic maintenance inspection photo, photorealistic, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1907676575,256,256
2026-03-15T09:16:22.391983+00:00,furniture,ml/raw_dataset/furniture/sd_furniture_000002_1721449833.png,Furniture complaint sample 00002,Synthetic campus complaint image for class 'furniture'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"collapsed cupboard shelf in staff room, wide angle institutional facility photograph, highly detailed, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1721449833,256,256
2026-03-15T09:16:36.170791+00:00,furniture,ml/raw_dataset/furniture/sd_furniture_000003_1787794164.png,Furniture complaint sample 00003,Synthetic campus complaint image for class 'furniture'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"loose bench leg in university canteen seating area, realistic documentary photo, natural lighting, detailed texture, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,1787794164,256,256
2026-03-15T09:16:51.739493+00:00,cleanliness,ml/raw_dataset/cleanliness/sd_cleanliness_000001_989847547.png,Cleanliness complaint sample 00001,Synthetic campus complaint image for class 'cleanliness'. Generated for Smart Campus complaint classifier training with realistic facility conditions.,"dirty campus washroom with stains and waste, realistic documentary photo, natural lighting, detailed texture, no people focus","cartoon, anime, painting, illustration, low quality, blurry, watermark, logo, text overlay, people posing, duplicate objects, distorted geometry",hf-internal-testing/tiny-stable-diffusion-pipe,989847547,256,256
